,fig_path,fig_name
43740,Triangle_2deaa74a-2a99-11ea-8123-8363a7ec19e6.png,Triangle
18269,Triangle_2166a352-2a8f-11ea-8123-8363a7ec19e6.png,Triangle
78098,Triangle_26381a6a-2a84-11ea-8123-8363a7ec19e6.png,Triangle
43572,Circle_083933e8-2a8c-11ea-8123-8363a7ec19e6.png,Circle
23361,Triangle_1d2a1530-2a94-11ea-8123-8363a7ec19e6.png,Triangle
16467,Triangle_4f777c5a-2a92-11ea-8123-8363a7ec19e6.png,Triangle
29882,Triangle_e57ef742-2a91-11ea-8123-8363a7ec19e6.png,Triangle
72393,Circle_78a0931c-2a8f-11ea-8123-8363a7ec19e6.png,Circle
62025,Square_2d38bcee-2a97-11ea-8123-8363a7ec19e6.png,Square
46236,Square_44265104-2a89-11ea-8123-8363a7ec19e6.png,Square
4081,Triangle_4ca8ae22-2a88-11ea-8123-8363a7ec19e6.png,Triangle
12179,Triangle_c0784084-2a8c-11ea-8123-8363a7ec19e6.png,Triangle
74096,Triangle_bdc92e0e-2a99-11ea-8123-8363a7ec19e6.png,Triangle
59702,Triangle_bbab533c-2a93-11ea-8123-8363a7ec19e6.png,Triangle
76683,Triangle_d1c3c07e-2a8d-11ea-8123-8363a7ec19e6.png,Triangle
42762,Square_a9fc0584-2a87-11ea-8123-8363a7ec19e6.png,Square
75911,Square_d4a90066-2a8c-11ea-8123-8363a7ec19e6.png,Square
69379,Square_92523ed2-2a94-11ea-8123-8363a7ec19e6.png,Square
88554,Circle_9ba369b4-2a87-11ea-8123-8363a7ec19e6.png,Circle
75595,Triangle_3932210e-2a8b-11ea-8123-8363a7ec19e6.png,Triangle
60040,Square_7c1a28e0-2a86-11ea-8123-8363a7ec19e6.png,Square
53416,Square_61916988-2a96-11ea-8123-8363a7ec19e6.png,Square
60716,Square_5800ae82-2a8d-11ea-8123-8363a7ec19e6.png,Square
50675,Triangle_17e64a18-2a89-11ea-8123-8363a7ec19e6.png,Triangle
64503,Triangle_630812c0-2a83-11ea-8123-8363a7ec19e6.png,Triangle
7475,Triangle_3c6a9874-2a95-11ea-8123-8363a7ec19e6.png,Triangle
